year,opening_cash,opening_financial_debt,opening_revolver,opening_lease_liability,entry_enterprise_value,transaction_fees,purchase_price,total_uses,debt_sources,cash_sources,opening_cash_use,total_sources,sponsor_equity,revenue,ebitda,da,ebit,negative_ebitda_flag,operating_cash_generation,cash_before_financing,cash_taxes,capex,working_capital,delta_working_capital,cash_interest,lease_interest_cash_payment,lease_interest,lease_principal_cash_payment,lease_additions,scheduled_debt_amortisation,actual_mandatory_amortisation,unpaid_amortisation,payment_default_flag,cash_after_mandatory_amortisation,revolver_draw_for_amortisation,revolver_draw_for_liquidity,revolver_draw,revolver_repayment,cash_sweep,funding_deficit,insolvency_flag,cash_after_financing,debt_balance,revolver_balance,lease_liability,cash,ending_cash,exit_enterprise_value,exit_equity,scenario_id,scenario_type,analytic_leverage,analytic_icr,simulated_leverage,simulated_icr,leverage_difference,icr_difference
5,37.450007761224775,157.2132806193972,0.0,295.44381647005787,9000.0,270.0,9000.0,9315.0,520.0,0.0,45.0,9315.0,8795.0,1153.1154340522512,251.7285463385552,34.59346302156754,217.13508331698765,False,133.39734842802403,140.5997427977013,48.23252391408023,46.12461736209005,23.062308681045025,-0.2309310263058144,9.432796837163833,14.772190823502894,14.772190823502894,30.24761339154749,12.045306933058658,30.0,30.0,0.0,False,110.59974279770131,0.0,0.0,0.0,0.0,68.33031730678012,0.0,False,42.26942549092119,58.88296331261709,0.0,277.24151001156906,42.26942549092119,42.26942549092119,2013.8283707084415,1689.7658973145499,0181,base,1.945775406520307,9.36488816836999,1.167348924496044,10.399862617885809,0.778426482024263,-1.0349744495158184
1,55.0,610.0,0.0,470.0,10875.0,326.25,10875.0,11256.25,610.0,0.0,55.0,11256.25,10646.25,1450.0,295.20581945944593,43.5,251.70581945944593,False,129.20436459458446,140.96535956861317,47.901454864861485,58.0,29.0,0.0,36.6,23.5,23.5,43.2390050259713,15.802931928541783,30.0,30.0,0.0,False,110.96535956861317,0.0,0.0,0.0,0.0,85.96535956861317,0.0,False,25.0,494.03464043138683,0.0,442.5639269025705,25.0,25.0,0.0,0.0,0182,base,2.7148029096392254,6.713788263123826,3.0880101517076928,4.911910473534874,-0.37320724206846734,1.8018777895889517
2,25.0,494.03464043138683,0.0,442.5639269025705,10875.0,326.25,10875.0,11256.25,610.0,0.0,55.0,11256.25,10646.25,1518.9100302052775,309.2352276909798,45.56730090615832,263.6679267848215,False,142.35593810419903,126.64099372195682,52.97441300345244,60.7564012082111,30.37820060410555,1.378200604105551,29.64207842588321,22.128196345128526,22.128196345128526,40.714944382242216,16.553952974422995,30.0,30.0,0.0,False,96.64099372195682,0.0,0.0,0.0,0.0,71.64099372195682,0.0,False,25.0,392.39364670943,0.0,418.40293549475126,25.0,25.0,0.0,0.0,0182,base,2.206167175633035,8.335247228770935,2.5410965887412784,5.973219749340274,-0.3349294131082434,2.3620274794306617
3,25.0,392.39364670943,0.0,418.40293549475126,10875.0,326.25,10875.0,11256.25,610.0,0.0,55.0,11256.25,10646.25,1591.094951626343,323.93137174664963,47.73284854879029,276.19852319785934,False,156.44642027073226,142.95423595001162,57.933689405139,63.643798065053716,31.821899032526858,1.4436984284213068,23.5436188025658,20.920146774737564,20.920146774737564,38.49218432072063,17.34066566372247,30.0,30.0,0.0,False,112.95423595001162,0.0,0.0,0.0,0.0,87.80069467216302,0.0,False,25.153541277848603,274.59295203726697,0.0,397.2514168377531,25.153541277848603,25.153541277848603,0.0,0.0,0182,base,1.7132723866205701,10.914001824692523,1.9963822093247445,7.285288763576992,-0.2831098227041744,3.6287130611155307
4,25.153541277848603,274.59295203726697,0.0,397.2514168377531,10875.0,326.25,10875.0,11256.25,610.0,0.0,55.0,11256.25,10646.25,1666.710400713264,339.3259376856142,50.00131202139792,289.3246256642162,False,171.56044528619836,160.16769718272394,63.24661942502314,66.66841602853057,33.334208014265286,1.5123089817384283,16.475577122236018,19.862570841887656,19.862570841887656,36.546289381323035,18.16476621176849,30.0,30.0,0.0,False,130.16769718272394,0.0,0.0,0.0,0.0,98.3729861744098,0.0,False,31.794711008314138,146.21996586285718,0.0,378.86989366819853,31.794711008314138,31.794711008314138,0.0,0.0,0182,base,1.233296482213949,15.67942199166031,1.4537501963076576,9.33800858592539,-0.22045371409370862,6.3414134057349205
5,31.794711008314138,146.21996586285718,0.0,378.86989366819853,10875.0,326.25,10875.0,11256.25,610.0,0.0,55.0,11256.25,10646.25,1745.9194104074718,355.4521174203382,52.37758231222415,303.07453510811405,False,187.47500755674068,184.41449040227087,68.83946061823318,69.83677641629887,34.91838820814944,1.5841801938841513,8.773197951771431,18.943494683409927,18.943494683409927,34.85522816278394,19.028031445095916,30.0,30.0,0.0,False,154.41449040227087,0.0,0.0,0.0,0.0,113.2650617683988,0.0,False,41.14942863387208,2.954904094458385,0.0,363.0426969505105,41.14942863387208,41.14942863387208,2843.6169393627056,2476.114512861168,0182,base,0.763783562334377,27.53457725110173,0.9139013568653163,12.824478089754317,-0.1501177945309392,14.710099161347413
1,30.0,390.0,0.0,300.0,5700.0,171.0,5700.0,5901.0,390.0,0.0,30.0,5901.0,5511.0,760.0,147.19379489036595,22.8,124.39379489036595,False,56.89534616777445,46.056450026350646,21.49844872259149,30.400000000000002,15.200000000000001,0.0,23.4,15.0,15.0,40.8388961414238,9.558547593826725,30.0,30.0,0.0,False,16.056450026350646,0.0,8.943549973649354,8.943549973649354,0.0,0.0,0.0,False,25.0,360.0,8.943549973649354,268.71965145240296,25.0,25.0,0.0,0.0,0183,base,4.329669509442612,4.13768368628559,4.162289598433011,3.8331717419366136,0.1673799110096006,0.30451194434897655
2,25.0,360.0,8.943549973649354,268.71965145240296,5700.0,171.0,5700.0,5901.0,390.0,0.0,30.0,5901.0,5511.0,722.897275035038,140.00788582672612,21.68691825105114,118.32096757567498,False,55.57436075242576,43.99364762967814,20.687093001158967,28.91589100140152,14.45794550070076,-0.7420544992992415,22.13661299841896,13.435982572620148,13.435982572620148,36.580713122747625,9.091905274829024,30.0,30.0,0.0,False,13.993647629678136,0.0,11.006352370321864,11.006352370321864,0.0,0.0,0.0,False,25.0,330.0,19.949902343971218,241.23084360448433,25.0,25.0,0.0,0.0,0183,base,4.137986264821937,4.298300856990959,4.043920402091931,3.935835537981137,0.09406586273000617,0.3624653190098224
3,25.0,330.0,19.949902343971218,241.23084360448433,5700.0,171.0,5700.0,5901.0,390.0,0.0,30.0,5901.0,5511.0,687.6058819119518,133.1727883520487,20.628176457358553,112.54461189469016,False,53.444325723712964,45.60565449680768,19.871518893456916,27.50423527647807,13.752117638239035,-0.7058278624617245,20.99699414063827,12.061542180224217,12.061542180224217,32.838671226905284,8.648044142171829,30.0,30.0,0.0,False,15.60565449680768,0.0,9.39434550319232,9.39434550319232,0.0,0.0,0.0,False,25.0,300.0,29.344247847163537,217.04021651975089,25.0,25.0,0.0,0.0,0183,base,3.956433571749632,4.463944298233706,3.9150976022865076,4.028393364409374,0.04133596946312457,0.43555093382433174
4,25.0,300.0,29.344247847163537,217.04021651975089,5700.0,171.0,5700.0,5901.0,390.0,0.0,30.0,5901.0,5511.0,654.0373925423869,126.67137606383403,19.621121776271607,107.05025428756242,False,51.459187305026234,46.913577768485425,19.109397147686266,26.161495701695475,13.080747850847738,-0.6713697873912974,19.760654870829814,10.852010825987545,10.852010825987545,29.545609536540805,8.225852032577286,30.0,30.0,0.0,False,16.913577768485425,0.0,8.086422231514575,8.086422231514575,0.0,0.0,0.0,False,25.0,270.0,37.43067007867811,195.72045901578736,25.0,25.0,0.0,0.0,0183,base,3.783245440752899,4.6361641576199935,3.7747369923060505,4.137874738461715,0.008508448446848504,0.4982894191582785
