threshold,train_balanced_accuracy,selected
0.027583999159072833,0.8952380952380952,False
0.02791098376224729,0.898639455782313,False
0.028062768951747703,0.9020408163265305,False
0.028845254280808856,0.9054421768707483,False
0.03126259353089943,0.9088435374149659,False
0.03241809650967023,0.9122448979591837,False
0.03420231709786289,0.9156462585034013,False
0.03428290817637383,0.9190476190476191,False
0.034690157167818626,0.9224489795918367,False
0.034941466911717706,0.9258503401360545,False
0.03700231430700262,0.9292517006802721,False
0.03788156796386317,0.9326530612244899,False
0.03815973475423817,0.9360544217687075,False
0.04052384102025945,0.9394557823129253,False
0.04248413033761021,0.9428571428571428,False
0.04430471123369004,0.9462585034013605,False
0.04780082990379734,0.9496598639455782,True
0.04894275095720959,0.9163265306122449,False
0.04904736550650255,0.8829931972789116,False
0.05048589013245206,0.8863945578231293,False
0.05060244304054557,0.889795918367347,False
0.05378291173441048,0.8931972789115646,False
0.05672838275565949,0.8598639455782313,False
0.05882570087322932,0.8265306122448979,False
0.06704755315405952,0.7931972789115647,False
0.07555807029238942,0.7598639455782312,False
0.09252144594854746,0.763265306122449,False
0.13341738118215518,0.7299319727891156,False
0.15353817478821702,0.7333333333333334,False
0.15356686528669602,0.7,False
0.27854797691496497,0.6666666666666666,False
0.3364899511427508,0.6333333333333333,False
0.6483444596179161,0.6,False
0.7331111600850682,0.5666666666666667,False
0.9134526935713692,0.5333333333333333,False
1.0000000000000002,0.5,False
